Price,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,
Date,,,,,,,,
2025-04-22,98.86669921875,99.78648062043173,97.2570779520085,98.75672452641882,241004800,106.57838554382325,107.09349786378456,41.74243579127724
2025-04-23,102.68579864501953,104.77531016741209,101.99595878138034,104.4953697335839,247526000,105.67959709167481,106.67371698580695,44.62567722476814
2025-04-24,106.40492248535156,106.51489717654988,103.08570507328525,103.45562063709751,220815000,105.31318321228028,106.6481175095731,53.46400646305014
2025-04-25,110.98385620117188,111.8936379045766,105.70510100806126,106.82483233532861,251064700,105.29218826293945,107.06104500401108,63.06321546926236
2025-04-28,108.70439910888672,110.34401230383385,105.9950305600335,109.66417212829982,207708500,105.24519996643066,107.21755491876114,58.81980731325027
2025-04-29,108.99430847167969,110.1740307356611,107.41468656100368,107.64462809509338,170444300,105.27719230651856,107.38676954284861,60.28793137799258
2025-04-30,108.89433288574219,108.89433288574219,104.05547701680861,104.44538450923935,235044600,105.21570625305176,107.53034700407657,43.83684639713183
2025-05-01,111.58370208740234,114.91291927434723,111.27377757314032,113.05335693358144,236121500,105.27519226074219,107.91638082153617,55.07283177706929
2025-05-02,114.47303009033203,115.37281962529518,113.34329900218786,114.15310576985596,190194800,105.91004257202148,108.54082360904053,54.53621988560764
2025-05-05,113.79318237304688,114.64298057759626,112.63345964895049,112.88340074602954,133163200,106.88531265258788,109.04104825323161,53.906048275715335
2025-05-06,113.51325988769531,114.7129742117387,110.7938992837595,111.4537475013017,158525600,107.68012619018555,109.46697317079958,51.735771521117364
2025-05-07,117.03242492675781,117.65228163619798,112.25355204144066,113.02337494499027,206758800,108.71788177490234,110.18749238565275,68.26505653762673
2025-05-08,117.34235382080078,118.65204278244111,115.82270761670769,118.22214377270919,198428100,108.86984596252441,110.86890776042875,75.03158215848023
2025-05-09,116.62252044677734,118.20215005190205,115.18285724943865,117.32235248570746,132972200,109.32373924255371,111.41687087341434,85.42715123220836
2025-05-12,122.97102355957031,122.97102355957031,120.25166311897564,121.94126742822685,225023300,109.92709693908691,112.51726636733396,87.40305920225484
2025-05-13,129.89938354492188,131.18908818741485,124.44067836400953,124.95056035306071,330430100,110.88787002563477,114.17270609853281,88.51161662806082
2025-05-14,135.30810546875,135.40808800730593,131.6489642323906,133.16861033831793,281180800,112.04459724426269,116.18560127664874,89.03593030324888
2025-05-15,134.79824829101562,136.26790331471523,132.62876117393418,134.25836692241,226632600,113.5612403869629,117.95823432563606,86.13477597689152
2025-05-16,135.36810302734375,136.31789147723805,133.42857277146337,136.18791721457987,226542500,115.25634155273437,119.61631705913203,92.672062968083
2025-05-19,135.53805541992188,135.83797251007488,132.35879696756518,132.35879696756518,193154600,117.18888549804687,121.13267309349297,92.643818651417
2025-05-20,134.3483428955078,134.54829272140586,132.58874781513978,134.2583525069389,161514200,118.96296768188476,122.39130831273248,89.50969864083078
2025-05-21,131.76895141601562,137.36762292180558,130.55922977564506,133.02864907239967,270608700,120.41712532043456,123.28441717971182,81.43886848064855
2025-05-22,132.7987060546875,134.21836966107523,131.51900885300861,132.19884131725317,187344000,121.73681449890137,124.1905399297095,80.2975793298915
2025-05-23,131.25906372070312,132.64873565144939,129.12957588399638,129.96937433382988,198821300,122.75057487487793,124.86373267170889,78.07784766035107
2025-05-27,135.4680633544922,135.6280293045703,133.27857708527512,134.1183754403962,192953600,124.0887580871582,125.87366892721207,81.33564418364378
2025-05-28,134.7782440185547,137.2176717346689,134.75824445795843,135.9979578766118,304021100,125.37795486450196,126.72172369781613,77.553624600315
2025-05-29,139.15721130371094,143.45620133736625,137.87751407348716,142.21648797143945,369241900,126.89109878540039,127.90605585075849,80.0717308479877
2025-05-30,135.09817504882812,139.58710766728817,132.88868890141003,138.6873257641086,333170900,128.06682243347169,128.59101958390798,73.32162007397382
2025-06-02,137.34764099121094,138.08745689917103,135.36809645457458,135.45808684638126,197663100,129.21055297851564,129.42498352746065,70.24217929569403
